add-binary | strings | Add Binary
arrange-coins | binary-search | Arranging Coins
asteroid-collision | stacks | Asteroid Collision
backspace-compare | stacks | Backspace String Compare
balanced-binary-tree | trees | Balanced Binary Tree (AVL Check)
basic-calculator-ii | stacks | Basic Calculator II (Operator Precedence)
binary-search | binary-search | Binary Search
binary-tree-inorder-traversal | trees | Binary Tree Inorder Traversal
binary-tree-level-order-traversal | trees | Binary Tree Level Order Traversal (BFS)
candy | greedy | Candy Distribution (Two-Pass Greedy)
capacity-to-ship-packages | searching-sorting | Capacity to Ship Packages Within D Days
celsius-to-fahrenheit | python-basics | Celsius to Fahrenheit Converter
cheapest-flights-within-k-stops | graphs | Cheapest Flights Within K Stops (Bellman-Ford)
climbing-stairs | dynamic-programming | Climbing Stairs (1D DP State Compression)
coin-change | dynamic-programming | Coin Change (Fewest Coins)
coin-change-ii | dynamic-programming | Coin Change II (Total Combinations)
common-keys-intersection | python-basics | Common Dictionary Key Matching
container-most-water | two-pointers | Container With Most Water
contains-duplicate | arrays | Contains Duplicate
count-components | graphs | Number of Connected Components
count-loop-operations | python-basics | Count Nested Loop Operations
count-negatives | binary-search | Count Negative Numbers in a Sorted Matrix
count-vowels | strings | Count Vowels
counting-bits | bit-manipulation | Counting Bits (Bitwise DP)
course-schedule | graphs | Course Schedule
course-schedule-ii | graphs | Course Schedule II (Topological Sort)
critical-connections-in-a-network | graphs | Critical Connections (Tarjan's Bridges)
daily-temperatures | stacks | Daily Temperatures
decode-string | stacks | Decode String
dedupe-sorted | two-pointers | Remove Duplicates from Sorted Array
delete-node-linked-list | linked-lists | Delete Node in a Linked List
design-add-and-search-words | trees | Design Add and Search Words (Wildcard Trie)
design-circular-queue | stacks | Design Circular Queue (Ring Buffer)
design-hashmap | hashing | Design HashMap Chaining
edit-distance | dynamic-programming | Edit Distance (Levenshtein Distance)
eval-rpn | stacks | Evaluate Reverse Polish Notation
find-center | graphs | Find Center of Star Graph
find-disappeared | arrays | Find All Numbers Disappeared in an Array
find-judge | graphs | Find the Town Judge
find-k-pairs-with-smallest-sums | heaps | Find K Pairs with Smallest Sums
find-median-from-data-stream | heaps | Find Median from Data Stream (Dual-Heap)
find-min-rotated | binary-search | Find Minimum in Rotated Sorted Array
find-peak | binary-search | Find Peak Element
find-the-difference | python-basics | Find the Difference
first-unique-char | strings | First Unique Character in a String
fizzbuzz | strings | Fizz Buzz
flatten-2d-matrix | python-basics | Flatten 2D Matrix Comprehension
flood-fill | graphs | Flood Fill
gas-station | greedy | Gas Station (Circular Circuit)
generate-parentheses | python-basics | Generate Balanced Parentheses
group-anagrams | hashing | Group Anagrams
group-by-parity | python-basics | Group by Parity Buckets
house-robber | dynamic-programming | House Robber (Non-Adjacent Recurrence)
house-robber-ii | dynamic-programming | House Robber II (Circular Street)
implement-queue-using-stacks | stacks | Implement Queue Using Two Stacks
implement-trie-prefix-tree | trees | Implement Trie (Prefix Tree)
insert-delete-getrandom-o1 | hashing | Insert Delete GetRandom O(1)
insertion-sort-list-array | searching-sorting | Insertion Sort Simulation
invert-binary-tree | trees | Invert Binary Tree
is-graph-bipartite | graphs | Is Graph Bipartite? (2-Coloring)
is-subsequence | two-pointers | Is Subsequence
island-perimeter | graphs | Island Perimeter
